tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids
412016,1,5683,Leptomonas acus,,eukaryota,FALSE,19036956.29,100,,,,,,,,,,,,,100,1903.695629,6236,1,6236,95.845,361,10^0.0,,,,,
462205,1,5683,Leptomonas bifurcata,,eukaryota,FALSE,6105.50234,100,100,0.610550234,2,,,98.2905,58.5,10^-26.082,,,,,,,,,,,,,,,,,
1001634,1,5683,Leptomonas tenua,,eukaryota,FALSE,3052.75117,100,,,,,,,,,,,,,100,0.305275117,1,,,84,25,10^9.71e-05,,,,,
332677,1,5683,Leptomonas podlipaevi,,eukaryota,FALSE,3052.75117,100,100,0.305275117,1,,,98.63,73,10^-35.9355,,,,,,,,,,,,,,,,,
5685,1,5683,Leptomonas sp.,,eukaryota,FALSE,3052.75117,100,100,0.305275117,1,,,88.889,90,10^-35.1584,,,,,,,,,,,,,,,,,
28641,2,28641,Bombus,bumble bees,eukaryota,FALSE,695636993.2,100,99,77404.64284,253557,1142,182547,96.346,608.602,10^-166.406,0.017132,0.0726847,,,100,53144.12401,174086,980,145909,90.2223,182.801,10^0.0200822,,,,,"[30195, 132113, 103933, 130704, 130701, 207650, 2705177, 130694, 1164557, 30193, 130687, 207648, 217885, 30192, 85656, 28643, 65598, 85660, 130714, 130686, 130691, 203812, 1578844, 30194, 421273, 184053, 30198, 103936, 218856, 65597, 1164558, 309941, 217217, 207645, 184050, 130709, 207644, 130707, 130706, 130678]"
30195,1,28641,Bombus terrestris,buff-tailed bumblebee,eukaryota,FALSE,695636993.2,100,99,41263.42701,135168,924,83673,98.4576,529.251,10^-159.398,0.017132,0.0726847,,,100,29121.41451,95394,649,78977,94.801,193.431,10^0.0193656,,,,,
132113,1,28641,Bombus impatiens,common eastern bumble bee,eukaryota,FALSE,202342910.9,100,100,13274.88846,43485,47,37843,92.5088,858.842,10^-230.803,,,,,100,7092.151518,23232,116,18502,86.6007,220.722,10^0.0376084,,,,,
103933,1,28641,Bombus bifarius,,eukaryota,FALSE,119888010.3,100,100,7811.379693,25588,40,21843,91.9932,793.381,10^-175.646,,,,,100,4255.535131,13940,41,12686,87.569,234.661,10^0.0113297,,,,,
130704,1,28641,Bombus ignitus,,eukaryota,FALSE,88661632.25,100,100,1062.662682,3481,8,2711,97.6652,406.952,10^-113.146,,,,,100,7814.127169,25597,5,25496,77.672,118.687,10^2.98944e-07,,,,,
130701,1,28641,Bombus hypocrita,,eukaryota,FALSE,72853784.56,100,100,7022.548791,23004,10,22787,95.9326,971.006,10^-134.359,,,,,100,333.0551526,1091,6,966,87.7334,196.702,10^5.32882e-06,,,,,
207650,1,28641,Bombus vosnesenskii,,eukaryota,FALSE,64690147.91,100,100,3731.377755,12223,43,7896,95.7276,243.173,10^-115.773,,,,,100,2774.950813,9090,67,6484,88.7238,127.988,10^0.0235293,,,,,
2705177,1,28641,Bombus vancouverensis,,eukaryota,FALSE,41216109.37,100,100,2585.680241,8470,49,4247,94.5515,375.095,10^-80.194,,,,,100,1561.787498,5116,84,2375,86.9366,56.6222,10^0.0601415,,,,,
130694,1,28641,Bombus florilegus,,eukaryota,FALSE,2575056.667,100,100,258.8732992,848,6,744,95.869,300.176,10^-156.939,,,,,100,1.221100468,4,,,86.225,30,10^0.000108726,,,,,
1164557,1,28641,Bombus lantschouensis,,eukaryota,FALSE,2373697.2,100,100,166.0696636,544,6,401,99.3456,501.173,10^-133.473,,,,,100,72.96075296,239,4,139,98.4305,99.3289,10^3.27247e-06,,,,,
30193,1,28641,Bombus lucorum,white-tailed bumblebee,eukaryota,FALSE,1807320.275,100,100,90.66670974,297,6,166,98.6273,357.462,10^-127.207,,,,,100,90.97198486,298,6,245,94.7167,146.086,10^9.33043e-07,,,,,
130687,1,28641,Bombus cryptarum,,eukaryota,FALSE,480533.5616,100,100,48.5387436,159,1,148,94.5959,544.562,10^-289.162,,,,,,,,,,,,,,,,,
207648,1,28641,Bombus terricola,,eukaryota,FALSE,256919.5384,100,100,25.64310983,84,,,98.2384,88.4048,10^-45.5024,,,,,100,0.305275117,1,,,78.1,32,10^5.08e-08,,,,,
217885,1,28641,Bombus occidentalis,,eukaryota,FALSE,250844.5636,100,100,25.33783471,83,1,82,98.1197,53.2597,10^-15.3606,,,,,,,,,,,,,,,,,
30192,1,28641,Bombus lapidarius,,eukaryota,FALSE,139113.8708,100,100,13.12683003,43,,,96.0216,68.9444,10^-30.2943,,,,,100,0.915825351,3,,,95.9667,32.3333,10^2.77667e-10,,,,,
85656,1,28641,Bombus argillaceus,,eukaryota,FALSE,119057.2956,100,,,,,,,,,,,,,100,11.90572956,39,2,39,99.5917,83.5714,10^3.78351e-44,,,,,
28643,1,28641,Bombus pensylvanicus,,eukaryota,FALSE,117866.7227,100,100,11.90572956,39,,,96.1562,83.9211,10^-40.0924,,,,,,,,,,,,,,,,,
65598,1,28641,Bombus pascuorum,,eukaryota,FALSE,45577.57496,100,100,2.136925819,7,,,100,87.7143,10^-47.3256,,,,,100,2.442200936,8,,,99.55,28.5,10^1.16839e-09,,,,,
85660,1,28641,Bombus hortorum,,eukaryota,FALSE,45547.04745,100,100,2.442200936,8,,,99.6563,77.3333,10^-39.8225,,,,,100,2.136925819,7,,,98.2429,31.1429,10^1.66005e-09,,,,,
130714,1,28641,Bombus trifasciatus,,eukaryota,FALSE,24177.78926,100,100,2.442200936,8,,,96.8767,53,10^-20.1474,,,,,,,,,,,,,,,,,
130686,1,28641,Bombus consobrinus,,eukaryota,FALSE,18316.50702,100,,,,,,,,,,,,,100,1.831650702,6,,,93.8,31.8,10^1.22283e-08,,,,,
130691,1,28641,Bombus diversus,,eukaryota,FALSE,18133.34195,100,100,1.831650702,6,1,6,96.1164,103,10^-13.318,,,,,,,,,,,,,,,,,
203812,1,28641,Bombus morio,,eukaryota,FALSE,15263.75585,100,,,,,,,,,,,,,100,1.526375585,5,,,77.9,32.6,10^5.20631e-06,,,,,
1578844,1,28641,Bombus erzurumensis,,eukaryota,FALSE,9158.253509,100,,,,,,,,,,,,,100,0.915825351,3,,,87.8667,33,10^1.10527e-06,,,,,
30194,1,28641,Bombus pratorum,,eukaryota,FALSE,9066.670974,100,100,0.915825351,3,,,97.7013,68,10^-32.0867,,,,,,,,,,,,,,,,,
421273,1,28641,Bombus sibiricus,,eukaryota,FALSE,6105.50234,100,,,,,,,,,,,,,100,0.610550234,2,,,84.8,33,10^4.73e-07,,,,,
184053,1,28641,Bombus melanurus,,eukaryota,FALSE,6105.50234,100,,,,,,,,,,,,,100,0.610550234,2,,,100,25.5,10^3.15e-07,,,,,
30198,1,28641,Bombus bohemicus,,eukaryota,FALSE,6105.50234,100,,,,,,,,,,,,,100,0.610550234,2,,,98.5,32.5,10^3.265e-09,,,,,
103936,1,28641,Bombus monticola,,eukaryota,FALSE,6074.974828,100,100,0.305275117,1,,,100,98,10^-54.3346,,,,,100,0.305275117,1,,,100,24,10^6.96e-08,,,,,
218856,1,28641,Bombus magnus,,eukaryota,FALSE,6044.447316,100,100,0.610550234,2,,,96.5,100,10^-50.8949,,,,,,,,,,,,,,,,,
65597,1,28641,Bombus humilis,,eukaryota,FALSE,6044.447316,100,100,0.610550234,2,,,98,100,10^-52.9535,,,,,,,,,,,,,,,,,
1164558,1,28641,Bombus longipennis,,eukaryota,FALSE,3052.75117,100,,,,,,,,,,,,,100,0.305275117,1,,,100,32,10^8.48e-09,,,,,
309941,1,28641,Bombus affinis,,eukaryota,FALSE,3052.75117,100,,,,,,,,,,,,,100,0.305275117,1,,,81.3,32,10^1.36e-08,,,,,
217217,1,28641,Bombus confusus,,eukaryota,FALSE,3052.75117,100,,,,,,,,,,,,,100,0.305275117,1,,,84.4,32,10^3.43e-07,,,,,
207645,1,28641,Bombus ruderatus,,eukaryota,FALSE,3052.75117,100,,,,,,,,,,,,,100,0.305275117,1,,,87,23,10^6.24e-05,,,,,
184050,1,28641,Bombus bicoloratus,,eukaryota,FALSE,3052.75117,100,,,,,,,,,,,,,100,0.305275117,1,,,78.1,32,10^6.14e-08,,,,,
130709,1,28641,Bombus pseudobaicalensis,,eukaryota,FALSE,3052.75117,100,,,,,,,,,,,,,100,0.305275117,1,,,90.6,32,10^1.2e-06,,,,,
207644,1,28641,Bombus perplexus,,eukaryota,FALSE,3022.223658,100,100,0.305275117,1,,,100,90,10^-48.8821,,,,,,,,,,,,,,,,,
130707,1,28641,Bombus patagiatus,,eukaryota,FALSE,3022.223658,100,100,0.305275117,1,,,100,62,10^-29.8308,,,,,,,,,,,,,,,,,
130706,1,28641,Bombus modestus,,eukaryota,FALSE,3022.223658,100,100,0.305275117,1,,,100,88,10^-47.5195,,,,,,,,,,,,,,,,,
130678,1,28641,Bombus ardens,,eukaryota,FALSE,3022.223658,100,100,0.305275117,1,,,95.699,93,10^-45.4369,,,,,,,,,,,,,,,,,
59732,2,59732,Chryseobacterium,,bacteria,FALSE,119458648.8,99,99,12190.55125,39933,15,35608,99.046,81.4191,10^-32.5075,35.053,46.3533,,,-0.732208948,0.610550234,2,,,100,21,10^3.21e-05,30.1647,40.363,,,"[1324352, 1871047, 2010998]"
1324352,1,59732,Chryseobacterium gallinarum,,bacteria,FALSE,119458648.8,99,99,12188.41432,39926,15,35608,99.0458,81.4302,10^-32.512,0.107272,0.323746,,,-100,0,0,,,0,0,10^0,0.0451146,0.132891,,,
1871047,1,59732,Chryseobacterium sp.,,bacteria,FALSE,21155.56561,100,100,2.136925819,7,,,99.6753,43.7143,10^-17.2391,,,,,-100,0,0,,,0,0,10^0,0.671783,0.961862,,,
2010998,1,59732,Chryseobacterium sp. VAUSW3,,bacteria,FALSE,0.648038535,1.449587374,,,,,,,,,,,,,1.449587374,0.610550234,2,,,100,21,10^3.21e-05,0.131134,0.330726,,,
5658,2,5658,Leishmania,,eukaryota,FALSE,74247455.52,100,99,14865.6771,48696,631,40679,90.5948,861.258,10^-102.563,0.0510117,0.149316,,,100,19890.50552,65156,1198,57964,77.5668,145.233,10^0.0821882,,,,,"[5661, 5660, 5664, 5665, 5679, 5689, 5671, 5681, 5659, 44271, 5670, 5666, 1294179, 5678, 40285, 5677, 5663, 1580590, 28847, 40284, 63122, 5667, 62297, 5682, 438838, 47002, 5674]"
5661,1,5658,Leishmania donovani,,eukaryota,FALSE,74247455.52,100,99,1189.046581,3895,77,1713,88.2863,297.179,10^-82.0444,0.0229292,0.0972805,,,100,6259.360999,20504,344,17955,87.7676,154.621,10^0.0438303,,,,,
5660,1,5658,Leishmania braziliensis,,eukaryota,FALSE,57586395.93,100,100,2632.387334,8623,56,6958,91.5816,577.281,10^-183.514,,,,,100,3152.576133,10327,191,9251,74.2208,110.187,10^0.097669,,,,,
5664,1,5658,Leishmania major,,eukaryota,FALSE,47757026.83,100,99,3084.499782,10104,127,8753,93.2123,1267.02,10^-56.2792,0.0280825,0.119144,,,100,1752.584447,5741,115,5033,58.3771,167.473,10^0.365053,,,,,
5665,1,5658,Leishmania mexicana,,eukaryota,FALSE,43650281.57,100,100,2238.582433,7333,115,5972,87.6308,272.247,10^-87.3011,,,,,100,2148.831548,7039,172,6268,63.3382,87.4912,10^0.035551,,,,,
5679,1,5658,Leishmania panamensis,,eukaryota,FALSE,35255337.96,100,100,2634.218984,8629,53,8239,95.7965,2045.87,10^-97.8628,,,,,100,917.6570016,3006,87,2602,69.2653,120.067,10^0.0848218,,,,,
5689,1,5658,Leishmania tarentolae,,eukaryota,FALSE,32472419.47,100,100,424.3324126,1390,2,1342,89.0132,165.479,10^-45.1796,,,,,100,2827.152858,9261,190,8127,78.1977,148.435,10^0.0530032,,,,,
5671,1,5658,Leishmania infantum,,eukaryota,FALSE,30662046.44,100,100,608.4133081,1993,44,1656,88.5555,318.731,10^-93.226,,,,,100,2463.875469,8071,48,7830,86.3257,216.027,10^0.0125664,,,,,
5681,1,5658,Leishmania peruviana,,eukaryota,FALSE,6642847.6,100,100,670.9947071,2198,45,2064,84.1157,306.659,10^-57.719,,,,,,,,,,,,,,,,,
5659,1,5658,Leishmania amazonensis,,eukaryota,FALSE,6619188.779,100,100,663.3628292,2173,62,1693,86.1774,393.681,10^-95.7106,,,,,100,5.189676989,17,2,12,80.127,60.75,10^3.07503e-07,,,,,
44271,1,5658,Leishmania chagasi,,eukaryota,FALSE,6388980.813,100,100,645.3515973,2114,48,2083,83.6688,682.41,10^-198.395,,,,,,,,,,,,,,,,,
5670,1,5658,Leishmania guyanensis,,eukaryota,FALSE,4093983.539,100,100,58.61282246,192,1,190,84.095,503.303,10^-129.665,,,,,100,351.3716596,1151,47,865,57.0163,59.103,10^0.17086,,,,,
5666,1,5658,Leishmania tropica,,eukaryota,FALSE,96863.79462,100,100,8.242428158,27,1,16,83.6323,347.923,10^-72.8518,,,,,100,1.526375585,5,,,83.38,30.6,10^4.3296e-05,,,,,
1294179,1,5658,Leishmania donovani complex sp. CR-2013,,eukaryota,FALSE,48844.01872,100,,,,,,,,,,,,,100,4.884401872,16,1,16,27.778,72,10^0.78,,,,,
5678,1,5658,Leishmania naiffi,,eukaryota,FALSE,27200.01292,100,100,2.747476053,9,,,93.93,41.125,10^-11.5767,,,,,,,,,,,,,,,,,
40285,1,5658,Leishmania gerbilli,,eukaryota,FALSE,21308.20317,100,100,0.610550234,2,,,89,100,10^-40.6021,,,,,100,1.526375585,5,1,5,35,40,10^0.77,,,,,
5677,1,5658,Leishmania lainsoni,,eukaryota,FALSE,15141.6458,100,100,1.221100468,4,,,91,100,10^-43.3469,,,,,100,0.305275117,1,,,93.8,32,10^5.96e-07,,,,,
5663,1,5658,Leishmania enriettii,,eukaryota,FALSE,12119.42214,100,100,0.915825351,3,,,94.464,87.3333,10^-40.6669,,,,,100,0.305275117,1,,,81.3,32,10^8.78e-07,,,,,
1580590,1,5658,Leishmania martiniquensis,,eukaryota,FALSE,9158.253509,100,,,,,,,,,,,,,100,0.915825351,3,,,79.1667,32,10^3.85667e-07,,,,,
28847,1,5658,Leishmania sp.,,eukaryota,FALSE,9158.253509,100,,,,,,,,,,,,,100,0.915825351,3,,,96.6667,30,10^3.66668e-09,,,,,
40284,1,5658,Leishmania arabica,,eukaryota,FALSE,6105.50234,100,,,,,,,,,,,,,100,0.610550234,2,,,80.3,33,10^2.94e-08,,,,,
63122,1,5658,Leishmania deanei,,eukaryota,FALSE,6074.974828,100,100,0.305275117,1,,,95.604,91,10^-44.074,,,,,100,0.305275117,1,,,90.9,33,10^1.63e-12,,,,,
5667,1,5658,Leishmania aethiopica,,eukaryota,FALSE,6074.974828,100,100,0.305275117,1,,,91.304,46,10^-13.492,,,,,100,0.305275117,1,,,78.1,32,10^8.71e-08,,,,,
62297,1,5658,Leishmania turanica,,eukaryota,FALSE,6044.447316,100,100,0.610550234,2,,,85.714,80.5,10^-26.6299,,,,,,,,,,,,,,,,,
5682,1,5658,Leishmania pifanoi,,eukaryota,FALSE,3052.75117,100,,,,,,,,,,,,,100,0.305275117,1,,,97,33,10^3.43e-12,,,,,
438838,1,5658,Leishmania sp. 'siamensis',,eukaryota,FALSE,3022.223658,100,100,0.305275117,1,,,92.453,53,10^-18.2337,,,,,,,,,,,,,,,,,
47002,1,5658,Leishmania hertigi,,eukaryota,FALSE,3022.223658,100,100,0.305275117,1,,,89.109,101,10^-41.284,,,,,,,,,,,,,,,,,
5674,1,5658,Leishmania adleri,,eukaryota,FALSE,3022.223658,100,100,0.305275117,1,,,92.632,95,10^-42.683,,,,,,,,,,,,,,,,,
7145,2,7145,Papilio,,eukaryota,FALSE,70153910.66,99,99,2664.441221,8728,5,4801,85.9651,245.776,10^-62.6177,0.095164,0.224426,,,99,4506.166002,14761,29,14710,54.669,248.717,10^0.00842946,0.241011,0.865155,,,"[66420, 76194, 76193]"
66420,1,7145,Papilio xuthus,Asian swallowtail,eukaryota,FALSE,70153910.66,100,100,2633.913709,8628,5,4801,85.8926,248.182,10^-63.2016,,,,,99,4497.313023,14732,27,14690,54.6453,249.088,10^0.0084466,0.101266,0.429635,,,
76194,1,7145,Papilio polytes,common Mormon,eukaryota,FALSE,164560.0782,99,99,16.79013143,55,,,93.8604,52.4615,10^-18.9254,0.0229292,0.0972805,,,,,,,,,,,,,,,
76193,1,7145,Papilio machaon,common yellow swallowtail,eukaryota,FALSE,105137.8246,64.84393237,64.84393237,13.73738026,45,,,89.5926,38.0732,10^-8.10894,0.0722348,0.210739,,,19.33953343,8.852978392,29,2,20,66.3,66.8462,10^2.61121e-05,0.139745,0.45054,,,
6914,2,6914,Nephila,,eukaryota,FALSE,67111681.72,100,,,,,,,,,,,,,100,6711.168172,21984,1,21983,83.9979,25.001,10^2.66901e-07,,,,,[299642]
299642,1,6914,Nephila pilipes,giant wood spider,eukaryota,FALSE,67111681.72,100,,,,,,,,,,,,,100,6711.168172,21984,1,21983,83.9979,25.001,10^2.66901e-07,,,,,
6033,2,6033,Encephalitozoon,,eukaryota,FALSE,33046031.41,100,100,357.1718869,1170,2,41,89.9576,56.0939,10^-16.7843,,,,,100,4011.620312,13141,18,13117,55.6858,617.697,10^0.00438637,,,,,"[6035, 27973, 58839, 571949]"
6035,1,6033,Encephalitozoon cuniculi,,eukaryota,FALSE,33046031.41,100,100,5.800227223,19,,,92.5173,47.9444,10^-15.1955,,,,,100,3298.802914,10806,9,10789,59.1274,656.677,10^0.00294554,,,,,
27973,1,6033,Encephalitozoon hellem,,eukaryota,FALSE,7781462.732,100,100,78.45570506,257,1,28,91.9383,59.5678,10^-17.3124,,,,,100,699.6905681,2292,4,2289,41.0256,458.849,10^0.00370798,,,,,
58839,1,6033,Encephalitozoon intestinalis,,eukaryota,FALSE,2417778.926,100,100,234.1460147,767,1,13,88.718,57.19,10^-17.354,,,,,100,7.631877924,25,2,22,40.3688,60.76,10^0.2824,,,,,
571949,1,6033,Encephalitozoon romaleae,,eukaryota,FALSE,442648.9196,100,100,38.76993986,127,,,91.9597,44.5217,10^-12.9768,,,,,100,5.494952106,18,3,17,33.9478,52.8333,10^0.442804,,,,,
4071,2,4071,Capsicum,peppers,eukaryota,FALSE,32457231.42,99,2.151577859,2.136925819,7,,,91.7463,81.8571,10^-34.3432,0.42237,0.796883,,,99,3314.06667,10856,1,10848,46.4063,150.891,10^7.32147e-14,0.205004,0.37898,,,"[33114, 4072]"
33114,1,4071,Capsicum baccatum,,eukaryota,FALSE,32457231.42,99,,,,,,,,,,,,,99,3311.624469,10848,1,10848,46.358,151,10^6.21e-28,0.0901717,0.265644,,,
4072,1,4071,Capsicum annuum,,eukaryota,FALSE,1835.674776,7.55148584,2.151577859,2.136925819,7,,,91.7463,81.8571,10^-34.3432,0.42237,0.796883,,,7.55148584,2.442200936,8,,,98.85,32.5,10^7.96301e-11,0.114833,0.3082,,,
5655,2,5655,Crithidia,,eukaryota,FALSE,30130654.05,100,100,5282.480624,17304,125,16200,91.1856,1011.25,10^-246.437,,,,,100,4712.531981,15437,233,14690,86.8517,324.956,10^0.01074,,,,,"[59798, 672011, 796356, 5656, 288676, 59801, 46909, 1539007]"
59798,1,5655,Crithidia acanthocephali,,eukaryota,FALSE,30130654.05,100,100,1305.96695,4278,66,3971,88.6013,926.092,10^-254.257,,,,,100,1707.098454,5592,132,5339,91.6291,287.582,10^0.00292798,,,,,
672011,1,5655,Crithidia sp. ATCC 30255,,eukaryota,FALSE,24431167.61,100,100,1523.933384,4992,21,4620,91.7467,866.11,10^-273.892,,,,,100,919.1833772,3011,45,2851,86.0546,211.96,10^0.0299009,,,,,
796356,1,5655,Crithidia mellificae,,eukaryota,FALSE,22938372.29,100,100,1033.966821,3387,12,3323,90.9149,1500.1,10^-282.94,,,,,100,1259.870408,4127,26,3940,88.2648,418.255,10^2.78162e-05,,,,,
5656,1,5655,Crithidia fasciculata,,eukaryota,FALSE,20325217.29,100,100,1271.165587,4164,21,3885,93.1488,962.502,10^-193.226,,,,,100,761.3561417,2494,26,2355,75.3259,392.934,10^0.023224,,,,,
288676,1,5655,Crithidia bombi,,eukaryota,FALSE,839506.5717,100,100,73.26602807,240,3,170,98.9397,94.1944,10^-41.5911,,,,,100,10.68462909,35,1,29,95.4875,65.0667,10^1.19421e-06,,,,,
59801,1,5655,Crithidia thermophila,,eukaryota,FALSE,815084.5623,100,100,73.57130319,241,2,231,88.0131,443.156,10^-145.366,,,,,100,7.937153041,26,1,24,89.4808,140.95,10^3.73305e-06,,,,,
46909,1,5655,Crithidia luciliae,,eukaryota,FALSE,436543.4173,100,,,,,,,,,,,,,100,43.65434173,143,1,143,77.841,352,10^0.0,,,,,
1539007,1,5655,Crithidia brevicula,,eukaryota,FALSE,33580.26287,100,100,0.610550234,2,,,99.3055,74,10^-37.3021,,,,,100,2.747476053,9,1,9,32.609,46,10^0.26,,,,,
5115,2,5115,Cryphonectria,,eukaryota,FALSE,27114535.89,100,,,,,,,,,,,,,100,2711.453589,8882,1,8882,56.923,65,10^3.37e-13,,,,,[5116]
5116,1,5115,Cryphonectria parasitica,chestnut blight fungus,eukaryota,FALSE,27114535.89,100,,,,,,,,,,,,,100,2711.453589,8882,1,8882,56.923,65,10^3.37e-13,,,,,
5706,2,5706,Phytomonas,,eukaryota,FALSE,25560685.54,100,,,,,,,,,,,,,100,4420.078419,14479,12,14400,87.5533,115.016,10^0.00535247,,,,,"[134006, 134013]"
134006,1,5706,Phytomonas sp. isolate EM1,,eukaryota,FALSE,25560685.54,100,,,,,,,,,,,,,100,2556.068554,8373,7,8325,88.3251,119.599,10^0.00901295,,,,,
134013,1,5706,Phytomonas sp. isolate Hart1,,eukaryota,FALSE,18640098.64,100,,,,,,,,,,,,,100,1864.009864,6106,5,6075,86.527,108.921,10^0.000484989,,,,,
5533,2,5533,Rhodotorula,,eukaryota,FALSE,24951478.52,99,1.875011986,2.136925819,7,,,91.9984,88.7143,10^-38.6105,0.718258,0.756618,,,99,2521.877741,8261,1,8254,30.762,331.754,10^5.18395e-08,0.999282,1.24341,,,"[5537, 5535, 29898, 5286]"
5537,1,5533,Rhodotorula mucilaginosa,,eukaryota,FALSE,24951478.52,100,-100,0,0,,,0,0,10^0,0.0377024,0.123649,,,100,2520.351366,8256,1,8254,30.7269,331.959,10^2.84659e-09,,,,,
5535,1,5533,Rhodotorula glutinis,,eukaryota,FALSE,3022.223658,100,,,,,,,,,,,,,100,0.305275117,1,,,100,33,10^1.21e-14,,,,,
29898,1,5533,Rhodotorula graminis,,eukaryota,FALSE,366.611294,3.997935786,1.804529259,1.221100468,4,,,93.4238,84,10^-38.3,0.415795,0.446269,,,3.997935786,0.915825351,3,,,84.2333,31.6667,10^2.75006e-06,0.0970521,0.204799,,,
5286,1,5533,Rhodotorula toruloides,,eukaryota,FALSE,58.63036381,1.848253557,1.614275667,0.915825351,3,,,90.098,95,10^-39.0245,0.207867,0.438561,,,1.848253557,0.305275117,1,,,57.6,33,10^0.00035,0.046381,0.140075,,,
6038,2,6038,Vairimorpha,,eukaryota,FALSE,24476958.88,100,100,2444.643137,8008,1,8008,83.773,986,10^-307.653,,,,,100,3.663301404,12,1,9,46.5426,63.6667,10^0.322516,,,,,"[6039, 33700]"
6039,1,6038,Vairimorpha necatrix,,eukaryota,FALSE,24476958.88,100,100,2444.643137,8008,1,8008,83.773,986,10^-307.653,,,,,100,3.05275117,10,1,9,38.0011,70.8,10^0.387001,,,,,
33700,1,6038,Vairimorpha sp.,,eukaryota,FALSE,6105.50234,100,,,,,,,,,,,,,100,0.610550234,2,,,89.25,28,10^9.05444e-05,,,,,
40931,2,40931,Rhopalosiphum,,eukaryota,FALSE,15729680.47,100,99,1601.167989,5245,1,5245,84.375,96,10^-13.9666,0.0675106,0.286423,,,100,3.663301404,12,2,10,78.8505,27.3333,10^0.0140002,,,,,[43146]
