Sample	NMDS1	NMDS2	NMDS3	NMDS4	NMDS5	NMDS6	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	SubFamily	Tribe	Tissue2	Tissue3	Continent	Sociality2
SRR11448240	0.165450395926884	-0.0126063442417907	0.0514493803961077	0.0716906731633998	-0.232696260365787	-0.178338197804676	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11448241	0.125287529746394	-0.106437873739467	0.08982050691327	0.0129261153121017	-0.264584018370548	-0.233961885163465	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR12053411	0.405027690656844	-0.234555685518109	0.09862666016253	0.199965224815061	-0.0888880455787652	0.195630421110546	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2017	February	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053412	0.210027156813611	-0.456215350059701	0.106504941782145	0.327175794127179	-0.0116222262264773	0.0330307490152585	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053417	0.181297708779225	-0.359248189370388	0.0941093368585195	0.328385312530039	-0.0164912673544417	0.106679224428167	Euglossa dilemma	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053419	0.35425852651914	-0.345771570898877	0.0602681033789906	0.316810623759956	0.0038249177877075	0.0374360477612025	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053421	0.179100784823731	-0.35902793312147	0.0943622905658444	0.333887846148653	-0.0124034986057986	0.0933671139080656	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053422	0.373618046105866	-0.336682581806571	0.0503459159395745	0.313176430553952	0.0215034270132495	0.0107869406363192	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053430	0.381944093114238	-0.332171304823371	0.057893641293613	0.305230706744629	0.010893986616095	0.0281953188864478	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	June	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053431	0.345501307542069	-0.351800979225588	0.0536724334423841	0.324790323790685	0.00835334915581288	0.0206455486011291	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	June	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053432	0.108560140190518	-0.157216883064232	-0.0208223946481397	0.145406626078234	-0.0561422033091647	-0.391130314308441	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	July	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053436	0.213074213637817	-0.45196235072425	0.115308584020608	0.317547216733086	-0.0275150088402704	0.0731783895287	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2017	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12233573	0.249370294140356	0.235015118764876	-0.133380964990515	-0.0140785509018948	0.0420313592839046	0.0029885168401835	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646593	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12233820	0.249975846285739	0.2091012106902	-0.112136051817907	0.0164439462736361	-0.0289557712400449	0.000279705630158554	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646602	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12235348	0.247301605358792	0.200363538970137	-0.0977135524187671	0.0220407126648488	-0.0373906836973687	-0.00477106394781812	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646687	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12244814	0.213791643174537	0.233340147030467	-0.111207446092415	-0.0103483663269428	0.0466731369894675	-0.00437708486877928	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646806	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12245258	0.247640335109205	0.245011344411277	-0.124977416041847	-0.00210502689666954	0.0510127150612313	-0.000688763789331695	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646816	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12245523	0.248407054020232	0.234938981566082	-0.115859305805542	-0.0147254822703482	0.0341364808482847	-0.0131526864032551	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646831	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527928	0.170868709399167	0.111508070259562	-0.0904193846755195	0.124810330187387	-0.105640753085343	-0.150480781762199	Bombus confusus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527929	0.12985386300031	-0.0493535072594871	0.14360651606211	0.0928974247855356	-0.307646021568551	0.0630164522359365	Bombus haemorrhoidalis	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527930	-0.275658909517264	0.0736695212972902	0.0277574760705388	-0.145739414832054	0.0938131279117011	-0.213328125982007	Bombus soroeensis	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527933	0.271387077134274	0.179278453379963	-0.0967914211157494	0.0325282149479381	0.020969330749035	0.0146278275484373	Bombus turneri	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527934	0.265126676467669	0.185917497912881	-0.106883377226691	0.0401177803082031	0.0207397457315074	0.00606857433488458	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527936	0.269045351046378	0.185801884241151	-0.114516886423482	0.0295504338171193	0.0185556211786536	-0.000421339048686037	Bombus picipes	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527961	0.274921628641049	0.185346426154408	-0.104052874452245	0.0330400294306457	0.0257769222541314	0.00182326859808406	Bombus waltoni	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527964	0.0572279655324815	-0.0621374232115678	0.115803214125907	0.0971779257925442	-0.371207840624106	-0.0235282262376325	Bombus opulentus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR13189057	-0.246963125726589	-0.0182964579796423	-0.0810251379012206	-0.161943573450189	-0.0853204354364183	0.0876982445050221	Apis mellifera	Eusocial	Female	gut	China	RNA	PRJNA681941	2020	NA	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR13189058	-0.266101731190148	-0.0318687990477202	-0.0709154923020117	-0.0651986198306653	-0.0214340738017161	0.0952043693190078	Apis mellifera	Eusocial	Female	gut	China	RNA	PRJNA681941	2020	NA	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR13189059	-0.284652888682031	-0.0186475411713861	-0.0630028077494982	0.0155138784842103	0.0143073230263624	-0.0208742604776875	Apis mellifera	Eusocial	Female	gut	China	RNA	PRJNA681941	2020	NA	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR13189063	-0.294818210214937	0.014590198736663	-0.0261554034636834	-0.0496212184536291	0.0125423005516573	-0.0859819386692356	Apis mellifera	Eusocial	Female	gut	China	RNA	PRJNA681941	2020	NA	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR13189066	-0.196397916232875	0.0101514833296673	-0.0791552781724866	-0.22054751784688	-0.0441101317755893	0.283182774641533	Apis mellifera	Eusocial	Female	gut	China	RNA	PRJNA681941	2020	NA	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR13189067	-0.225947135300381	-0.0184976127053195	-0.056819403243957	-0.189502187174226	-0.0686500259996413	0.168223123917732	Apis mellifera	Eusocial	Female	gut	China	RNA	PRJNA681941	2020	NA	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia	Complex Eusocial
SRR13404631	0.123515545068529	0.202965564678338	0.211019469429873	0.0300571023871833	-0.119223737367653	0.275287942966815	Andrena 	Solitary	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body, pooled	whole body	Asia	Solitary
SRR13404632	-0.278301737697179	0.0375134137144463	0.0109670723260121	-0.0957312932324841	-0.00495242563348407	-0.083915301959407	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404633	-0.20819025210537	0.170828869150808	0.172059600088267	-0.0987886422610035	-0.0602568483273897	0.163261436309122	Andrena 	Solitary	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body, pooled	whole body	Asia	Solitary
SRR13404634	-0.276958090593856	0.035616807084964	0.0324736753135808	-0.09731703030595	0.0183028951367913	0.0340671276982123	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404635	0.0600854109608566	0.162900595987634	0.270574003132112	-0.259902587815178	-0.198515906750409	0.18588673967525	Andrena 	Solitary	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body, pooled	whole body	Asia	Solitary
SRR13404636	-0.28315495589663	0.0311377657170707	0.0101389074580793	-0.105700800657013	0.0554794717389324	0.0195691767536527	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404640	0.0296674042136857	0.140609745609958	0.270706090504493	-0.172809374112052	-0.188964504793092	0.237239062229429	Andrena 	Solitary	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body, pooled	whole body	Asia	Solitary
SRR13404641	-0.279849680357348	0.0437691473022447	0.00488930778569716	-0.14856745873963	0.0625639730647061	-0.094063463113124	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13442815	-0.216805481667826	-0.0262694032562536	-0.0639016847377414	0.0773594524130196	0.111148324281622	0.178118273967988	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442818	0.120700842658011	-0.073292048393139	0.0577333768912436	0.012064426567382	-0.106393735776578	0.378816851472665	Tetragonula carbonaria	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Tetragonula	Apidae	Apinae	Meliponini	whole body	whole body	Oceania	Complex Eusocial
SRR13442819	-0.249337475750603	0.029345638049604	0.0843484958136584	0.116011777318291	0.0561789731602116	0.198253200646623	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442828	-0.227772893763852	-0.0128261631761297	-0.013052362108957	0.0884201902776712	0.0561245837031114	0.184986429889345	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	October	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442829	-0.146023777226178	-0.0765643907153275	-0.0957028583389295	0.10047028308705	0.160245620409872	0.280882870599288	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	October	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442831	-0.27160540749704	-0.0289612972474197	-0.124022396140134	0.0581109247699133	0.0013193963163852	0.0390254395418388	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13769013	-0.0702660085870128	-0.0320567165814242	0.101370481491409	0.198077674707191	-0.265934066724978	0.0423895481152891	Bombus	Eusocial	Unknown	pooled whole bodies (293)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769014	-0.273717946071006	0.0311892093274833	-0.0716283408984019	-0.0505621523102556	-0.093889268393928	-0.00538495833149757	Bombus pascuorum	Eusocial	Unknown	pooled whole bodies (182)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769015	-0.210219010020744	-0.0560861564067355	-0.0628392261452367	0.0950830028604311	-0.128106312790858	0.067751281116221	Bombus pascuorum	Eusocial	Unknown	pooled whole bodies (182)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769016	-0.214484219759522	-0.0188353364714152	0.040067436534075	0.00918958227277815	-0.208463665731169	-0.0626536585784464	Bombus lucorum	Eusocial	Unknown	pooled whole bodies (212)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769017	-0.190362915060775	-0.0271988424259609	0.0479130961730301	0.0444660619218668	-0.240807589736642	-0.0288600966251001	Bombus lucorum	Eusocial	Unknown	pooled whole bodies (212)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769018	-0.213612375812531	0.00580491213276764	0.0635969933431861	0.00743106005851889	-0.151625653597117	0.128817176641598	Bombus terrestris	Eusocial	Unknown	pooled whole bodies (239)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769019	-0.142510731606802	-0.0683053564733507	0.0414615077099309	0.118831532427273	-0.236348826743455	0.0490377417374694	Bombus terrestris	Eusocial	Unknown	pooled whole bodies (239)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
