Sample	NMDS1	NMDS2	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	SubFamily	Tribe	Tissue2	Tissue3	Continent
SRR13189063	-0.065133296117664	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	gut	China	RNA	PRJNA681941	2020	NA	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia
SRR13189066	-0.065133296117664	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	gut	China	RNA	PRJNA681941	2020	NA	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia
SRR13404632	-0.00925779540893154	0.154361706207386	Apis mellifera	O. Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia
SRR13404634	0.18250309904928	0.0328089974285694	Apis mellifera	O. Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia
SRR13404636	-0.00589978760958355	0.154551810445678	Apis mellifera	O. Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia
SRR13404641	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia
SRR13442815	0.162700826986261	0.0371324667091258	Apis mellifera	O. Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR13442827	0.181947904181496	0.0114794286851118	Apis mellifera	O. Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR13442828	0.18250309904928	0.0328089974285694	Apis mellifera	O. Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	October	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR13442829	0.175434514350562	0.00950016686968163	Apis mellifera	O. Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	October	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR13442831	0.358498659227204	-0.0665197955008126	Apis mellifera	O. Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR13769013	-0.348857990531857	-0.081162204682184	Bombus	O. Eusocial	Unknown	pooled whole bodies (293)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe
SRR13769015	-0.372419698536562	0.163438234635385	Bombus pascuorum	O. Eusocial	Unknown	pooled whole bodies (182)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe
SRR13769016	-0.344200489820261	-0.115279738756848	Bombus lucorum	O. Eusocial	Unknown	pooled whole bodies (212)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe
SRR13769017	-0.333036960174233	-0.0537447669680327	Bombus lucorum	O. Eusocial	Unknown	pooled whole bodies (212)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe
SRR13769019	-0.370368586497623	0.197252963387537	Bombus terrestris	O. Eusocial	Unknown	pooled whole bodies (239)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe
SRR1380984	0.156803951128919	0.245216211349425	Apis cerana	O. Eusocial	Female	gut	South Korea	RNA	PRJNA235974	2013	NA	Paired	POLYA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	gut	gut	Asia
SRR15496106	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	abdomen	China	RNA	PRJNA754836	2021	May	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	abdomen	abdomen	Asia
SRR15496109	-0.065133296117664	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	abdomen	China	RNA	PRJNA754836	2021	May	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	abdomen	abdomen	Asia
SRR15496114	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	abdomen	China	RNA	PRJNA754836	2021	May	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	abdomen	abdomen	Asia
SRR1790685	0.330470468283312	0.139487672989204	Apis mellifera	O. Eusocial	Female	pool of abdomens and fat bodies	California	RNA	PRJNA274674	2015	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	abdomen and fatbody, pooled	abdomen and fat body	North America
SRR1790687	0.508745730010142	0.146903375409701	Apis mellifera	O. Eusocial	Female	pool of abdomens and fat bodies	California	RNA	PRJNA274674	2015	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	abdomen and fatbody, pooled	abdomen and fat body	North America
SRR18500042	0.175725721336881	0.0632594923786633	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500043	-0.0297121959245474	-0.0328032474388828	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500044	0.18250309904928	0.0328089974285694	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500050	-0.111634874891069	0.16336370968717	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500061	0.144635585779824	-0.233714999201586	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500077	0.184477391119008	-0.202655652053608	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500078	-0.065133296117664	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500080	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500083	0.144635585777069	-0.23371499920155	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500085	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500086	0.358498659227204	-0.0665197955008126	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500088	0.144635585776903	-0.233714999201548	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR18500090	-0.0373073480739023	-0.0262394375341068	Apis mellifera	O. Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Oceania
SRR2396633	-0.253521492957075	-0.0978095089616711	Bombus terrestris	O. Eusocial	Queen	abdomen with fat bodies	Israel	RNA	PRJNA295976	2015	NA	Single	CDNA	Illumina Genome Analyzer	Illumina	Illumina Genome Analyzer	Bombus	Apidae	Apinae	Bombini	abdomen and fatbody	abdomen and fat body	Asia
SRR2396644	0.156803951128919	0.245216211349425	Bombus terrestris	O. Eusocial	Queen	abdomen with fat bodies	Israel	RNA	PRJNA295976	2015	NA	Single	CDNA	Illumina Genome Analyzer	Illumina	Illumina Genome Analyzer	Bombus	Apidae	Apinae	Bombini	abdomen and fatbody	abdomen and fat body	Asia
SRR2396654	0.156803951128919	0.245216211349425	Bombus terrestris	O. Eusocial	Queen	abdomen with fat bodies	Israel	RNA	PRJNA295976	2015	NA	Single	CDNA	Illumina Genome Analyzer	Illumina	Illumina Genome Analyzer	Bombus	Apidae	Apinae	Bombini	abdomen and fatbody	abdomen and fat body	Asia
SRR2396655	0.156803951128919	0.245216211349425	Bombus terrestris	O. Eusocial	Queen	abdomen with fat bodies	Israel	RNA	PRJNA295976	2015	NA	Single	CDNA	Illumina Genome Analyzer IIx	Illumina	Illumina Genome Analyzer	Bombus	Apidae	Apinae	Bombini	abdomen and fatbody	abdomen and fat body	Asia
SRR3383870	0.516259723229094	-0.0758704618136099	Osmia cornuta	Solitary	Female	head and abdomen (pooled 5 females)	Belgium	RNA	PRJNA318490	2015	NA	Single	CDNA	Ion Torrent PGM	Ion Torrent	Ion Torrent	Osmia	Megachilidae	Megachilinae	Osmiini	abdomen and head, pooled	abdomen and head	Europe
SRR5109820	-0.230368863510354	0.0541303779628713	Apis mellifera	O. Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa
SRR5109826	-0.0461615949944943	0.150903427103338	Apis mellifera	O. Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa
SRR5109829	0.18250309904928	0.0328089974285694	Apis mellifera	O. Eusocial	Female	whole body	Netherlands	RNA	PRJNA357165	2014	July	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Europe
SRR5109831	0.0827922359462118	-0.156053652538451	Apis mellifera	O. Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa
SRR5109832	-0.0176914262208988	-0.0473155717590178	Apis mellifera	O. Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa
SRR5109833	-0.47728414353205	0.0375781380953915	Apis mellifera	O. Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Africa
SRR5117442	-0.0343111427424426	0.183737983752966	Apis mellifera	O. Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2013	January	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR5117444	-0.0343111427424426	0.183737983752966	Apis mellifera	O. Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2013	October	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR5117446	0.00821929914335696	0.143917706431512	Apis mellifera	O. Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	June	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR5117447	0.160488675234306	0.0602967222646256	Apis mellifera	O. Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	August	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR5117448	-0.0245634640826865	-0.00641399318573047	Apis mellifera	O. Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	November	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR5117449	-0.00619374080674221	0.177392035621699	Apis mellifera	O. Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	March	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR5117450	-0.0181928444199947	0.00330288594961788	Apis mellifera	O. Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	August	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania
SRR5387735	0.145424316601174	0.0833764533975828	Apis mellifera	O. Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia
SRR5387737	0.15193712387673	0.0549591477383701	Apis mellifera	O. Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia
SRR5387738	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia
SRR6148364	0.117813047909213	-0.113875230327631	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Megachilidae	Megachilinae	Osmiini	abdomen and head, pooled	abdomen and head	Europe
SRR6148369	-0.370368574960805	0.197252964602256	Bombus pascuorum	O. Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe
SRR6148371	0.377031809145343	-0.0179038706605974	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Megachilidae	Megachilinae	Osmiini	abdomen and head, pooled	abdomen and head	Europe
SRR6148372	0.358498659227204	-0.0665197955008126	Bombus pascuorum	O. Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe
SRR6148374	0.319247146865925	-0.203497460871991	Bombus terrestris	O. Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe
SRR6148376	0.375447160274482	-0.253243729874459	Bombus pascuorum	O. Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe
SRR6148378	-0.344200489820262	-0.115279738756848	Bombus pascuorum	O. Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen and head, pooled	abdomen and head	Europe
SRR6148379	0.508746116293825	0.146903169510229	Osmia bicornis	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Megachilidae	Megachilinae	Osmiini	abdomen and head, pooled	abdomen and head	Europe
SRR8335255	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	whole body	China	RNA	PRJNA510543	2017	NA	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	Asia
SRR8754037	-0.065133296117664	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	North America
SRR8754040	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	North America
SRR8754041	-0.0192957236228075	-0.0600081506529922	Apis mellifera	O. Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	North America
SRR8754042	-0.065133296117664	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	North America
SRR8754044	-0.0651332961176639	-0.0399753199787984	Apis mellifera	O. Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Apinae	Apini	whole body	whole body	North America
SRR8867392	0.144635585778149	-0.233714999201564	Apis mellifera	O. Eusocial	Female	pooled whole bodies	Hawaii	RNA	PRJNA531527 	2012	November	Paired	CDNA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	North America
SRR8867393	0.18250309904928	0.0328089974285694	Apis mellifera	O. Eusocial	Female	pooled whole bodies	Hawaii	RNA	PRJNA531527 	2012	December	Paired	CDNA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	North America
SRR8867394	0.16500112563194	0.0112601853197647	Apis mellifera	O. Eusocial	Female	pooled whole bodies	Hawaii	RNA	PRJNA531527 	2012	November	Paired	CDNA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	North America
SRR8867395	0.146576256091896	0.016923291322939	Apis mellifera	O. Eusocial	Female	pooled whole bodies	Hawaii	RNA	PRJNA531527 	2012	November	Paired	CDNA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	North America
