Sample	NMDS1	NMDS2	NMDS3	NMDS4	NMDS5	NMDS6	NMDS7	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	SubFamily	Tribe	Tissue2	Tissue3	Continent	Sociality2
SRR11445091	-0.116284839540011	-0.139689384952291	0.133625453758688	0.0787236586632963	-0.208631127908636	0.163912993595052	0.0789591941723238	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11448239	-0.0667259063800857	-0.149658995241408	0.0976040422920981	0.180833643363053	-0.231727565779848	0.181767526595553	0.0177209302811436	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11448240	-0.0511855194242665	-0.146275559417345	0.0934539417631002	0.197721686853802	-0.245720066464492	0.166464305459002	-0.0322160013549302	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR11448241	-0.0546294325483024	-0.165739122323741	0.095681680015245	0.210613219280622	-0.11106899490496	0.259275153611373	0.0586032079445485	Bombus terrestris	Eusocial	Female	whole body (pool of 3)	United Kingdom	RNA	PRJNA615177	2021	NA	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR12053418	0.493996567028087	0.0479679341448484	-0.0223725844286022	-0.0754088604808327	-0.179029048422313	-0.139889290194292	0.210422937672567	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053420	-0.082503416118232	-0.133053537033949	0.195269209645887	0.276491316009392	-0.0347954424358009	0.460163036576879	0.0444899735039194	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12053430	-0.375964762736829	-0.0903747639054809	-0.178995385332804	-0.0120990360846206	-0.234009851199915	-0.0050064911497904	-0.0157208433197678	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	June	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	abdomen	abdomen	North America	Polymorphic
SRR12233820	-0.090607656438722	0.0151654471061953	0.132978631261691	-0.342308057288265	-0.0398534635681241	0.224795629311873	0.163617983624594	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646602	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12235348	-0.0407623169020095	-0.0840765361962925	0.083101241259312	-0.24908415662062	-0.275305046673014	-0.0591209743251827	0.0710170083717046	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646687	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12244814	0.0680260909649395	-0.27511379176808	-0.0423662207496841	-0.0202665443655261	0.0131576482425416	-0.163599638752772	-0.0938429999862567	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646806	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12245258	0.146270130491582	-0.23756849360737	-0.0324579146853262	-0.140587428745789	-0.042145511702142	-0.098065967492113	-0.123853989986249	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646816	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12245523	0.170024744205421	-0.204432488065093	-0.0181731512125843	-0.112194542180333	-0.200265359813044	0.124970087936595	-0.143999003450022	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646831	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527928	0.0345292644389704	-0.121309659566012	0.123803920880516	-0.149305310700239	-0.200921407731869	-0.0114976815612013	0.199048551862645	Bombus confusus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527929	0.133518338164116	-0.147585797915098	-0.105585474338311	0.263551718792477	-0.0356098284711914	-0.23394975946835	-0.0192262556897265	Bombus haemorrhoidalis	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527932	0.423407534915109	-0.12397634197143	-0.181075667695323	0.377257035230071	0.00140661356419419	-0.0685252658012608	0.0527830656135092	Bombus superbus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527933	0.268158365001053	-0.152856980127635	-0.0584525744604823	-0.157172969971758	-0.185022994129989	0.101730650794871	-0.16464594280235	Bombus turneri	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527934	-0.0106285851495877	-0.152187006850071	-0.0835776590661242	0.219438250674063	-0.0685484538128929	-0.275398727299758	-0.100817050075885	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527935	0.0300413634668029	-0.234460617810183	-0.0157274154459824	-0.220598837192777	0.15084966575968	-0.0564172064715795	-0.0710084591121465	Bombus ignitus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527936	0.0427744061995088	0.158132627237003	-0.235948756058424	0.0142873258957956	0.0508049503156729	0.128415038964378	0.0820802575546938	Bombus picipes	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527961	0.027369405338977	-0.24485410891537	-0.132810128977426	0.0539539822457982	0.0152123997909806	-0.244247715026266	0.123314364984276	Bombus waltoni	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527962	0.423424114950167	-0.123348584200513	-0.179118036113534	0.378116851398175	0.000667334110452303	-0.0682485190962596	0.0518934364990306	Bombus difficillimus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527963	0.0370956899050087	-0.161126458565215	-0.0924513935699477	0.228358977769772	0.000183105187709771	-0.245309333267151	-0.0200370070182085	Bombus breviceps	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527964	0.00129021850266783	-0.186682090514704	-0.0848457955299446	-0.0433410162168165	0.0204430603647563	-0.136408635382722	0.361072545653318	Bombus opulentus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527965	0.376766678127792	-0.148987732966004	-0.0473182898012035	0.129262987434744	-0.167617977616678	0.00508988700122749	0.0585245933393548	Bombus consobrinus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527966	0.129847683254212	-0.281657096932039	-0.0888436951097292	-0.0671435610800561	0.027824926642767	-0.0535158108227293	0.288776951355373	Bombus sibiricus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR13404631	0.0793389875050842	0.0880711318593446	0.273031597517059	-0.168530063774137	-0.116871633579137	0.0878605466380655	0.188172813461319	Andrena 	Solitary	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body, pooled	whole body	Asia	Solitary
SRR13404632	0.145959356942538	0.160991933316672	0.267291097865702	0.0518344825156285	0.0955129644829423	-0.0285203336071708	-0.0174789074857965	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404634	0.13254915311099	0.201636032594352	0.269868446785253	0.0757680498336161	0.0678760925576116	-0.028425457393656	-0.0530209300915378	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404636	0.0872789976671598	0.265838673894154	0.168619873594124	0.0125765480621856	-0.0546165959036526	-0.113022288588957	-0.008268779055287	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404640	0.144825073150305	0.0826858785649174	0.306534452877611	-0.0423377834329737	0.0328837593301765	-0.0460565119242148	0.0908332456708207	Andrena 	Solitary	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body, pooled	whole body	Asia	Solitary
SRR13404641	0.0234064880282567	0.320923505284397	0.0707685088099224	-0.179768977654765	-0.0357977968464566	-0.139646486746335	-0.064435648122268	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13442813	-0.356732910061421	-0.107209476499666	-0.00950446575254164	-0.200994418916839	-0.0283648921171061	0.00738744127296704	0.0136931389027714	Lasioglossum	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Lasioglossum	Halictidae	Halictinae	Halictini	whole body	whole body	Oceania	Polymorphic
SRR13442815	0.18255406492949	0.110802777842659	0.298575017317396	0.0672393825681874	0.101723865664116	-0.041141381778291	-0.0082498339126072	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442818	-0.139424969984221	-0.208639266427596	0.03003140363825	-0.228926521969974	0.0673471060740187	-0.00270254688168816	-0.0703801888380605	Tetragonula carbonaria	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Tetragonula	Apidae	Apinae	Meliponini	whole body	whole body	Oceania	Complex Eusocial
SRR13442824	-0.142567046758225	-0.134837578485945	0.155827988468051	-0.0560246272690036	0.0717015599006018	0.113165830472712	-0.170005915563393	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Apidae	Xylocopinae	Allodapini	whole body	whole body	Oceania	Polymorphic
SRR13442825	0.0621211181920083	0.0774753999832315	0.23674876904214	-0.190335822405726	-0.153354726430622	0.117783511947409	0.222101945436464	Lasioglossum	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Lasioglossum	Halictidae	Halictinae	Halictini	whole body	whole body	Oceania	Polymorphic
SRR13442827	0.181588989271154	0.180347023962194	0.327628726861946	0.0711325009166345	0.0938450302049179	-0.0251400009274	-0.0210829934140282	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442828	0.0414187772076899	0.179624133933645	-0.209701092081909	-0.0695169480580203	0.067640783640874	0.0863225209826746	-0.00261893560721111	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	October	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442829	0.11799901253997	-0.317337678028845	-0.0176107902599064	-0.156437893493569	0.103760864783901	0.0462545788003995	-0.14002744939552	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	October	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442830	0.0926840862049033	-0.321484828003439	0.0473846736209337	-0.135555010533935	0.0406268356800948	0.0899667730342582	-0.0518373943117283	Tetragonula carbonaria	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Tetragonula	Apidae	Apinae	Meliponini	whole body	whole body	Oceania	Complex Eusocial
SRR13442831	0.170662824643277	-0.259531223276394	-0.0253651989506772	-0.140387078103439	-0.0673883713178715	0.0778488577592386	-0.167964491157601	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13769013	0.0348564106705266	0.196082819998894	-0.222087795972412	-0.0239780851076054	0.0523217075815848	0.0791698283070308	0.00241566347781737	Bombus	Eusocial	Unknown	pooled whole bodies (293)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769014	0.0298443567420296	0.169818374770339	-0.181334671866036	0.00112208700157435	-0.00867592039277409	0.0839249783128982	-0.0818806683415827	Bombus pascuorum	Eusocial	Unknown	pooled whole bodies (182)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769015	0.0678813021327534	0.182886110715958	-0.218065921828549	0.00057599154347815	0.0172737727380148	0.0966460057761969	0.0050626444334428	Bombus pascuorum	Eusocial	Unknown	pooled whole bodies (182)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769016	0.0321255543433161	0.145434266969734	-0.232102005563165	0.0365367413124232	0.0153648600805858	-0.0383939515267502	-0.0230152164335043	Bombus lucorum	Eusocial	Unknown	pooled whole bodies (212)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769017	0.0333038656685378	0.167607509849553	-0.238870668705947	0.0239573746574942	0.0389495478861886	0.0419198605442037	0.00536696024856006	Bombus lucorum	Eusocial	Unknown	pooled whole bodies (212)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769018	0.0785119513752014	0.189613068016	-0.118319793090311	0.0554702179379738	0.0352523921803025	-0.0251068127012166	-0.0221386913704018	Bombus terrestris	Eusocial	Unknown	pooled whole bodies (239)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769019	0.0747878010762024	0.185982277484259	-0.137190514382685	0.0603651174802969	0.0697301422449374	0.0249647400641764	-0.015699621339473	Bombus terrestris	Eusocial	Unknown	pooled whole bodies (239)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR14567209	0.154666488161839	-0.083095906330995	0.13802650188132	0.00363635582216978	-0.0543965946667502	-0.0655492284698667	-0.175078483122481	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567210	-0.0339671285806962	-0.243041619354048	-0.0950378047547632	0.162134867607706	-0.02180663984837	-0.161946293280009	-0.142472013554429	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567211	0.044967534360541	0.0951826377009195	-0.220486641122331	0.0776087366063715	0.0119271339284909	-0.120035421899452	-0.0460768791439993	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567212	-0.0547628961658447	-0.116979566582646	0.240528186531678	0.028746447353511	-0.0217223089907196	0.120812074572707	-0.0506729467441521	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567213	0.118746111405452	0.150514778988849	-0.195658822035885	-0.0184264907685193	-0.0740596610133534	0.0993884283538817	-0.0813537942382463	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567214	-0.00957732335841191	-0.138880973739695	-0.068392509204573	-0.0694833332894198	-0.0479425283484588	-0.014799246677282	-0.202877159463468	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567217	0.0389714000051668	0.191857618770873	-0.218144955059313	-0.00834358601193778	0.0542408930011694	0.114228360413121	0.021314987163083	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567218	0.0265863349952052	-0.19946831224905	-0.00403009463862883	-0.0603227187054358	-0.140034232088324	0.0691950631861935	-0.153041979760961	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567219	0.0971579095987124	-0.0530190174739723	0.243497500859003	-0.0434105309919443	-0.00113160682399247	0.0522967672661281	-0.0598874353144375	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567220	0.0499227728716064	0.172936064340621	-0.207172697614155	0.00627839094580982	0.0648813478780078	0.172789738936615	0.0723672320343533	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567221	0.00380260868030188	0.0518972772672195	0.0522732082614707	-0.161030197989929	-0.229357957549682	-0.217719489171794	0.133470020349525	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
