Sample	NMDS1	NMDS2	NMDS3	NMDS4	NMDS5	NMDS6	NMDS7	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	SubFamily	Tribe	Tissue2	Tissue3	Continent	Sociality2
SRR12527928	-0.0129987593416913	-0.00844463119226015	0.268407861739478	0.211825857036918	-0.0673007862603607	0.0027277864989735	0.0391884717618127	Bombus confusus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527929	-0.0436718074866741	-0.161308425230818	-0.319399251307993	0.0277755353677523	-0.168277805747662	-0.0219605205271534	0.0226429132969179	Bombus haemorrhoidalis	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527932	-0.258161868177084	-0.287686631116584	-0.455584095713986	-0.000410274256584265	0.0675567796068624	0.00664214680236704	0.0183946196847871	Bombus superbus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527933	-0.187852087770427	-0.198005329780579	0.0640522565982731	-0.0100645200224463	0.16070135506492	-0.0128525683797	-0.228819164899735	Bombus turneri	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527934	0.000781154490046007	-0.0970331441135236	-0.197567867133536	0.131688671560784	-0.262524212770691	-0.0379263962279738	0.0689895066708842	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527935	-0.0571301040155971	-0.186042822667976	0.198679361338234	-0.185199697339557	-0.0661629068970838	-0.0390127162952837	0.0192101978305641	Bombus ignitus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527961	-0.04838496410032	-0.131249075454433	-0.0656308257631392	0.0154928100287671	-0.204613811574746	-0.239172291843859	0.0148158473018585	Bombus waltoni	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527962	-0.257861118711353	-0.287823941148607	-0.455675640607456	-0.000433265946393469	0.0675967945900755	0.00689076042438448	0.0183033799157198	Bombus difficillimus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527963	-0.00617360595046838	-0.155886921314248	-0.252081392095697	0.0155952827046809	-0.199543819050635	-0.0429723771658696	0.0263951123262811	Bombus breviceps	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527964	-0.0219235104533907	-0.0638975518511855	-0.0100365138045987	-0.0176104658280975	0.0202734456197722	-0.426084448426865	0.0186005885797103	Bombus opulentus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527965	-0.227234310595318	-0.253603640301086	-0.22178664734054	0.057722567132117	0.138135033031481	0.0225504951077096	-0.0124818381936702	Bombus consobrinus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR12527966	-0.147404667809235	-0.129991873375152	0.0984589241856118	0.010398255434096	0.0157153956933377	-0.356648284413757	0.040239192086676	Bombus sibiricus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	whole body	whole body	Asia	Primitive Eusocial
SRR13404631	-0.138428950323873	0.229347565898677	0.204174389447272	0.238912010590134	-0.0799928695435009	0.0285417520306076	0.0115285877289325	Andrena 	Solitary	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body, pooled	whole body	Asia	Solitary
SRR13404632	-0.249462432078717	0.29836460195486	-0.0347110198205726	-0.0210052837422231	0.0184138663613105	-0.0208039023466384	0.0282231582026653	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404634	-0.260864629510762	0.318194136461523	-0.036748852944519	-0.0376293378634841	0.00307214640139425	-0.0124931553159169	0.000369420373899934	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404636	-0.24838649582253	0.305229506544524	-0.0540189553121695	-0.0186842705442219	0.020827864272739	-0.0104887757960908	0.0254288871388701	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13404640	-0.172995667311344	0.291139477499912	0.104627595664328	0.0166714773241419	-0.0125958000716141	0.0360997106351257	0.00984947454989178	Andrena 	Solitary	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Andrena	Andrenidae	Andreninae	Andrenini	whole body, pooled	whole body	Asia	Solitary
SRR13404641	-0.260864674889741	0.318194146805696	-0.0367489184528838	-0.0376293009131157	0.00307219552664359	-0.012492797463404	0.000369457647838476	Apis mellifera	Eusocial	Unknown	pooled whole bodies 	Israel	RNA	PRJNA687318	2018	March	Paired	RT-PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Apinae	Apini	whole body, pooled	whole body	Asia	Complex Eusocial
SRR13442813	0.296012081001386	0.0137597578131233	0.199830577596865	0.0220059047016035	-0.0185510667241688	0.0429938000520143	-0.144282946666485	Lasioglossum	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Lasioglossum	Halictidae	Halictinae	Halictini	whole body	whole body	Oceania	Polymorphic
SRR13442815	-0.257632130362845	0.279144302007076	-0.0331742551140931	-0.0442573040244848	0.0114440952157407	-0.0201052610957244	0.0257253335985878	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442818	0.095444082149408	-0.119574339846019	0.231256449516701	-0.133614782056247	0.00701806513367352	0.0354858324494897	-0.0159090863625499	Tetragonula carbonaria	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Tetragonula	Apidae	Apinae	Meliponini	whole body	whole body	Oceania	Complex Eusocial
SRR13442824	0.0356915073839503	0.0241433008074419	0.0965177992153519	-0.0156188377952561	0.105632577954648	0.228127362289304	0.0369096820852512	Exoneura	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Exoneura	Apidae	Xylocopinae	Allodapini	whole body	whole body	Oceania	Polymorphic
SRR13442825	-0.117906536723432	0.200483379708977	0.23203487400899	0.284523999289631	-0.0850029425467964	0.0256430504790089	0.00957311096137285	Lasioglossum	Polymorphic	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Lasioglossum	Halictidae	Halictinae	Halictini	whole body	whole body	Oceania	Polymorphic
SRR13442827	-0.260864631899938	0.318194136984697	-0.0367488563792506	-0.0376293359244109	0.00307214892518259	-0.0124931366456268	0.000369422347368726	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442828	-0.184169744364205	-0.192626527814989	0.27775159399229	-0.135993730148602	-0.0571529182143911	-0.0381708634823401	0.0519170055406546	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	October	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442829	-0.204494421680907	-0.260066297029744	0.171899942361099	-0.0519615001316928	-0.00629326707895913	0.0681905101877763	0.127043253417314	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	October	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13442830	-0.11927350095517	-0.203651997285942	0.20414418711292	-0.00618542401737144	0.0399807885056195	0.0853155720426445	0.129786626014765	Tetragonula carbonaria	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Tetragonula	Apidae	Apinae	Meliponini	whole body	whole body	Oceania	Complex Eusocial
SRR13442831	-0.188430642257932	-0.249424856658672	0.121585323370434	0.0130045979263011	0.107241699343569	0.0704371574127563	-0.0542826670397972	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Apinae	Apini	whole body	whole body	Oceania	Complex Eusocial
SRR13769013	-0.0567358143935095	-0.161947491838621	-0.0972548582690258	0.152144240465305	-0.0953064392388109	0.140673160125709	-0.0978927707920343	Bombus	Eusocial	Unknown	pooled whole bodies (293)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769014	0.0156574677059695	0.0314684360365239	-0.0325166300267183	0.0292545230187422	0.139557462017284	0.0770810722504239	-0.197068946865931	Bombus pascuorum	Eusocial	Unknown	pooled whole bodies (182)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769015	-0.157943514675646	-0.0165239504511372	-0.0454908522888854	0.0804368424049077	0.154135362037722	0.0967258066619163	-0.245623657610095	Bombus pascuorum	Eusocial	Unknown	pooled whole bodies (182)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769016	0.0424768657249195	-0.0931518356301534	-0.137193934223782	0.114205200205645	-0.266965141970172	-0.0185477369720267	-0.0328168033563811	Bombus lucorum	Eusocial	Unknown	pooled whole bodies (212)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769017	-0.0258971781032678	-0.103250309249173	-0.159443312443779	0.142022076811302	-0.291088694131611	-0.0195638601502913	-0.0393344165961717	Bombus lucorum	Eusocial	Unknown	pooled whole bodies (212)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769018	-0.113740466317214	0.135375309470808	-0.12505649010093	0.0334051642649191	-0.156788789918985	-0.0243863892949366	-0.00854238368630418	Bombus terrestris	Eusocial	Unknown	pooled whole bodies (239)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR13769019	-0.143335754948559	0.113148758396708	-0.146624027295435	-0.0111704034677637	-0.16979621258333	0.0703527006371427	-0.0185099577747468	Bombus terrestris	Eusocial	Unknown	pooled whole bodies (239)	Scotland	RNA	PRJNA704259	2021	NA	Paired	RT-PCR	MGI DNBSEQ-G400	MGI	MGI	Bombus	Apidae	Apinae	Bombini	whole body, pooled	whole body	Europe	Primitive Eusocial
SRR14567209	-0.215942802697532	-0.0117331930921142	-0.00576175697159876	0.00101364621348133	-0.0659102201333288	0.00934096917740524	-0.114011140341396	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567210	-0.00377125739843116	-0.142405792355949	-0.105732235240231	0.102537754088002	-0.191256463051696	0.122457629925438	0.114021160002954	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567211	-0.0381501779978461	-0.084829446897942	-0.146156506163856	0.0956272698909066	-0.316136117177619	-0.000715435594865983	-0.00381728157606091	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567212	-0.0336119023844268	0.098956880119103	0.110413818696281	-0.0106128851508965	0.0671757602750649	0.0906810760315784	0.109231365160327	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567213	-0.173085424398205	-0.0852503401525875	-0.0512413588127652	0.103543990782523	0.161376739581905	0.0162367100741876	-0.295568527863004	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567214	-0.00287330136774278	-0.224696462996689	0.052192223069554	0.0462317738021612	-0.0247691620296432	0.0812396671490993	-0.0379390390563905	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567217	-0.267923817556168	-0.180039797786327	0.00430692405322963	0.218820909708427	0.0519900397915668	0.198003172067871	0.158273457587703	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567218	-0.0594785021038562	-0.216579760671995	0.0601228603090827	0.0858535127269079	0.121250003853245	-0.0262326776386709	-0.0234004620601361	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567219	-0.166054538404914	0.0845592602044374	0.0971224399066073	0.0161422661010471	0.0950225047283864	-0.0272076780689941	0.116589122312362	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567220	-0.276591328202953	0.164180348851017	0.056243175703652	-0.0941911291581276	0.00422747222196386	-0.0249096878895522	0.0165479599780194	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567221	-0.0258639208030077	0.0277805467746992	0.138772599566636	0.257665399404214	-0.102550643651056	0.0825721537917865	0.053277625132696	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR14567222	-0.230748365231805	0.281675739306829	-0.0418903755642629	-0.0513193426454291	0.00856357090902457	-0.0169721700867048	0.00933169404443772	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Apidae	Apinae	Bombini	abdomen	abdomen	North America	Primitive Eusocial
SRR1503066	-0.131597603001088	-0.203237244435065	0.227572140705761	-0.101819538068554	0.0103974828374989	0.0591516596709409	0.0382526880057284	Epeolus variegatus	Solitary	Unknown	whole body	Italy	RNA	PRJNA252262	2011	September	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Epeolus	Apidae	Nomadinae	Epeolini	whole body	whole body	Europe	Solitary
SRR1503113	0.00975246951920979	-0.0758074930490935	-0.137236116850681	0.271289096147904	0.280123023810095	-0.0666768212113593	0.0313156462875186	Euglossa dilemma	Polymorphic	Unknown	whole body	Florida	RNA	PRJNA252310	2012	January	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Euglossa	Apidae	Apinae	Euglossini	whole body	whole body	North America	Polymorphic
SRR1503129	-0.215274949914156	-0.221451172711031	0.233795973454495	-0.209347373859848	-0.0591541468873655	-0.0322128684203363	0.00601176683608877	Anthophora plumipes	Solitary	Male	whole body	Germany	RNA	PRJNA252326	2011	April	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Anthophora	Apidae	Apinae	Anthophorini	whole body	whole body	Europe	Solitary
